Product Code,,Pet Cafe Ashgrove,More Than Paws,Animal Affair,Snippets Dog Grooming,WesternPort Pet Supplies,Nellys Ark,Heritage Vet,Pet N The Dog,Glenhuntly Road Vet,Hallam Vet,Berwick Vet Hospital,Box Hill Vet,Silhoutte Grooming,Maroondah Produce,WT Murphy Bros,Ascot Vale Sadderley,Pakenham Produce,Windmill,Officer Grain,Passion for Pets Bulleen,Poppets,East West Vet,Count Dogulas Moonee Ponds,Brunswick Community,Monash Vet,Zoo Products,Itty Bitty Pet Shop,Pawz Ink,Cheeky Paws Dog Grooming,Blue Mountains,Pampered Petz Hornsby,Rhuarcs,Barking Good,Robbos Pet Barn,Abba Boarding Kennels,Pets on Nepean,Berwick Boarding Kennels,Daylesford Mind your Pet,Pets for Life,Rollover Rova,MEVCAH,Glenroy Vet,OZ Pets,Rye Produce,Karingal Pets,Pet Peeps,Central Sandy Vet,Moonee Central Vet,Cabterbury Vet,Diamond Valley M10,Pet Lovers Pantry,Patterson River Vet Centre,Moonee Valley Animal Hospital,K9 Design Studio,German Shepherd Dog Club
XMKTSP003,,,6,5,,,,,,3,1,,6,2,,2,,,,,,,2,,6,4,6,,4,,,,2,4,2,,6,,,6,,,,6,,,,,2,,,,2,,3,1
XMKTSP004,,,,,,,,,,,,,6,2,,2,,,,,,,2,,6,,6,,4,,,,1,4,2,,6,,,,,,,,,,,,2,,,,,,3,
XMKTSP007,,,,5,,,,,,,,2,3,4,2,2,10,,5,,,,2,,12,,6,6,4,,,,2,6,2,1,8,,,,1,2,,,4,4,,,2,,,,,,3,
XMKTSP008,,,6,5,,,,2,,,,2,3,4,2,2,10,,,,,,2,,,,12,6,4,,,,2,,2,2,8,,,,1,1,,,4,4,,,2,,,,,5,3,1
XMKTSP005,,,,5,,,,2,,,,2,3,4,,2,10,3,,,,,2,,6,4,,6,4,,,,,,2,,8,,,,,2,,,,,,,2,,,,,2,3,
XMKTSP006,,,6,5,,,,,,,,2,3,4,,2,10,3,,,,,2,,6,4,6,6,4,1,,,,,2,,8,,,,2,,,,,,,,2,,,,,5,3,1
XMKTSP010,,,,20,,6,8,,,,,2,4,4,,4,10,10,5,,20,10,10,40,10,4,12,,,1,,,3,6,2,,8,60,10,10,2,2,6,12,6,4,15,2,2,20,5,5,2,10,3,
XMKTSP011,,,,10,,6,6,,,,,2,1,4,,4,10,10,,,20,10,2,20,10,4,6,,,,,,3,6,2,,8,,10,10,,2,6,10,4,4,8,2,2,,5,5,2,,3,
XMWM121,,,,,5,,,,,7,,,,2,4,,,,,,,,,6,,,,,,,,,,,,,,,,,6,,,24,6,,,,,,,12,4,,,
XMYF006,,,,,,,,,,,,,,,2,,,,,12,,,,,3,,,,2,,,30,,,,,12,,,,,,,,,,,,,,,,,,,
XMWM122,,,,10,,,,,12,,1,2,,,4,,,,5,15,,,,,,,,,4,,,10,,,,,20,,,,4,,,,,,,,,,5,,,,,
XMK9303,,,,1,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XMK9304,,,,1,,,2,,2,,,,,,,,,,,,,,1,,,,,1,1,1,,,,,,,2,,,2,,,,,,1,,,,,,,,,,
XMK9305,,60,,,20,,20,,24,20,,,12,,4,,10,,,,,,30,60,50,,24,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,
XMK9306,,50,,,,,20,,,,,,,4,4,,10,,,,,,30,40,50,,24,12,,5,,,,,,,,,,,,,,,,6,,,,,,,,,,
XMK9301,,,,,10,,,,,,,,,,4,,,,,,,,,,,,,6,,,,,,,6,,12,,,12,3,,,,,,,,,,,,,,,
XMK9302,,,,20,,,,,,6,,,6,,4,,10,,,,,,,,,,,,10,,,,,,,,12,,,,,,,,,6,,,,,,,,,,
XMWM102,,,,20,,,,,24,,,,,6,,,10,,,,,,,25,,,,,,4,,,,,,,12,,,,,,,,4,6,,75,,47,,,,,,
XMWM104,,,,20,,,,,,,,,,,,,10,,,,,,,25,,,12,6,,,,,,,,,12,,,,,,,,4,,,75,,,5,5,2,,,
CT120,,,,,2,2,,1,,,,,,1,,,,,,,5,,1,,2,,,,2,,,,1,,,,20,,,,,,,,,2,,,,,,,,,,
XMHK121,,,,,,,20,,,,,,3,8,,,,5,,,,10,5,,12,4,,,,,20,,6,4,,1,20,,,,,,,,,6,,,,20,,,,,,
XMHK118,,,,,,,8,,,8,,6,3,,3,6,,,,,,,2,,25,,,6,,,50,30,,3,3,,16,,,,,,,,4,,24,,3,,,5,,,,
XMHK119,,,,,,,8,,,8,,6,3,4,3,6,10,,8,,,,2,,15,,,6,4,,,30,,3,3,,16,,,,,,,,,,24,,3,10,,5,,,,
XMHK120,,10,,,,,,,,,,,,3,3,,,5,4,,,,2,,12,,,,,,50,,,,,,16,,,30,,,,,4,,15,,,24,,,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
